Symbol,Name,Price,Change,market cap,PE_ratio
RY,Royal Bank of Canada,95.87,-0.35,133.484B,12.23
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.25,+0.09,123.026B,3.57
GS,"The Goldman Sachs Group, Inc.",319.12,-1.60,106.821B,11.44
SPGI,S&P Global Inc.,358.12,-2.17,114.923B,43.74
C,Citigroup Inc.,45.40,-0.63,89.006B,6.28
AXP,American Express Company,147.97,-0.02,110.512B,15.63
BAC-PK,Bank of America Corporation,24.38,-0.04,244.596B,6.94
BAC-PL,Bank of America Corporation,"1,144.76",+0.79,0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270.35B,5.70
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.08,-0.31,215.779B,8.11
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245.183B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.233B,6.80
MS,Morgan Stanley,82.30,-0.33,139.28B,14.31
WFC,Wells Fargo & Company,37.42,-0.92,141.362B,10.88
RY,Royal Bank of Canada,95.87,-0.35,133.484B,12.23
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.25,+0.09,123.026B,3.57
GS,"The Goldman Sachs Group, Inc.",319.12,-1.60,106.821B,11.44
SPGI,S&P Global Inc.,358.12,-2.17,114.885B,43.73
C,Citigroup Inc.,45.40,-0.63,89.025B,6.28
AXP,American Express Company,147.97,-0.02,110.49B,15.63
TD,The Toronto-Dominion Bank,60.62,-0.27,111.861B,9.89
BAC-PL,Bank of America Corporation,"1,144.76",+0.79,0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270.35B,5.70
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.08,-0.31,215.758B,8.11
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245.183B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.38,+0.03,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.233B,6.80
MS,Morgan Stanley,82.30,-0.33,139.263B,14.31
WFC,Wells Fargo & Company,37.40,-0.93,141.343B,10.88
RY,Royal Bank of Canada,95.87,-0.35,133.484B,12.23
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.19,+0.03,123.026B,3.57
GS,"The Goldman Sachs Group, Inc.",319.03,-1.69,106.821B,11.44
SPGI,S&P Global Inc.,358.03,-2.26,114.856B,43.72
C,Citigroup Inc.,45.38,-0.65,89.016B,6.28
AXP,American Express Company,147.88,-0.12,110.445B,15.62
TD,The Toronto-Dominion Bank,60.62,-0.27,111.861B,9.89
BX,Blackstone Inc.,83.01,-0.26,98.916B,101.24
BML-PG,Bank of America Corporation,20.02,-0.03,270.35B,5.70
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.07,-0.32,215.725B,8.10
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.54,-0.03,245.281B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.233B,6.80
MS,Morgan Stanley,82.27,-0.36,139.229B,14.31
WFC,Wells Fargo & Company,37.40,-0.93,141.305B,10.87
RY,Royal Bank of Canada,95.87,-0.35,133.484B,12.23
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.19,+0.03,122.598B,3.56
GS,"The Goldman Sachs Group, Inc.",319.03,-1.69,106.791B,11.43
SPGI,S&P Global Inc.,358.03,-2.26,114.856B,43.72
C,Citigroup Inc.,45.38,-0.65,88.996B,6.28
AXP,American Express Company,147.88,-0.12,110.419B,15.62
TD,The Toronto-Dominion Bank,60.62,-0.27,111.861B,9.89
BX,Blackstone Inc.,82.98,-0.30,98.91B,101.24
BLK,"BlackRock, Inc.",650.51,+8.49,98.457B,20.36
BML-PH,Bank of America Corporation,19.90,+0.05,269.812B,5.66
BAC,Bank of America Corporation,27.06,-0.33,215.679B,8.10
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.54,-0.03,245.281B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.233B,6.80
MS,Morgan Stanley,82.30,-0.33,139.212B,14.31
WFC,Wells Fargo & Company,37.40,-0.93,141.305B,10.87
RY,Royal Bank of Canada,95.84,-0.38,133.442B,12.22
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.741B,11.43
SPGI,S&P Global Inc.,358.03,-2.26,114.856B,43.72
C,Citigroup Inc.,45.40,-0.63,88.986B,6.28
AXP,American Express Company,147.88,-0.12,110.419B,15.62
TD,The Toronto-Dominion Bank,60.62,-0.27,111.861B,9.89
BX,Blackstone Inc.,83.00,-0.28,98.868B,101.20
BLK,"BlackRock, Inc.",650.99,+8.97,98.412B,20.35
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
BAC,Bank of America Corporation,27.08,-0.31,215.765B,8.11
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.54,-0.03,245.281B,6.98
WFC-PQ,Wells Fargo & Company,25.00,+1.44,201.039B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.213B,6.79
MS,Morgan Stanley,82.28,-0.35,139.263B,14.31
WFC,Wells Fargo & Company,37.42,-0.92,141.305B,10.87
RY,Royal Bank of Canada,95.81,-0.41,133.47B,12.23
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,358.03,-2.26,114.856B,43.72
C,Citigroup Inc.,45.40,-0.63,89.035B,6.28
AXP,American Express Company,147.88,-0.12,110.419B,15.62
TD,The Toronto-Dominion Bank,60.65,-0.24,111.861B,9.89
BX,Blackstone Inc.,83.00,-0.28,98.892B,101.22
BLK,"BlackRock, Inc.",650.99,+8.97,98.484B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.05,+1.32,88.94B,13.33
BML-PL,Bank of America Corporation,20.20,+0.05,248.946B,5.75
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.54,-0.03,245.281B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.015B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.233B,6.80
MS,Morgan Stanley,82.27,-0.36,139.212B,14.31
WFC,Wells Fargo & Company,37.42,-0.92,141.343B,10.88
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.82,+0.69,126.223B,26.19
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,358.03,-2.26,114.856B,43.72
C,Citigroup Inc.,45.39,-0.64,89.025B,6.28
AXP,American Express Company,147.88,-0.12,110.419B,15.62
TD,The Toronto-Dominion Bank,60.65,-0.24,111.919B,9.89
BX,Blackstone Inc.,83.00,-0.28,98.886B,101.21
BLK,"BlackRock, Inc.",650.99,+8.97,98.484B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.05,+1.32,88.936B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.37,+0.00,89.234B,28.18
BAC-PE,Bank of America Corporation,20.15,+0.12,239.34B,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.54,-0.03,245.281B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.015B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.233B,6.80
MS,Morgan Stanley,82.26,-0.37,139.212B,14.31
WFC,Wells Fargo & Company,37.41,-0.92,141.343B,10.88
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.81,+0.68,126.223B,26.19
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,357.81,-2.48,114.856B,43.72
C,Citigroup Inc.,45.40,-0.63,89.025B,6.28
AXP,American Express Company,147.88,-0.12,110.419B,15.62
TD,The Toronto-Dominion Bank,60.64,-0.25,111.9B,9.89
BX,Blackstone Inc.,82.94,-0.34,98.856B,101.18
BLK,"BlackRock, Inc.",650.99,+8.97,98.484B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.06,+1.33,88.932B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.32,-0.05,89.234B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
BML-PJ,Bank of America Corporation,20.76,-0.01,240.083B,5.91
BAC-PB,Bank of America Corporation,24.54,-0.03,245.281B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.015B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.51,+0.06,151.233B,6.80
MS,Morgan Stanley,82.28,-0.35,139.204B,14.31
WFC,Wells Fargo & Company,37.40,-0.93,141.324B,10.88
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.81,+0.68,126.205B,26.18
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,357.76,-2.54,114.785B,43.69
C,Citigroup Inc.,45.39,-0.64,89.025B,6.28
AXP,American Express Company,147.79,-0.20,110.356B,15.61
TD,The Toronto-Dominion Bank,60.65,-0.24,111.9B,9.89
BX,Blackstone Inc.,82.94,-0.34,98.821B,101.15
BLK,"BlackRock, Inc.",650.99,+8.97,98.484B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.06,+1.33,88.945B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.32,-0.05,89.208B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.60,-1.79,82.668B,15.85
BAC-PB,Bank of America Corporation,24.54,-0.03,245.281B,6.98
WFC-PQ,Wells Fargo & Company,25.01,+1.45,201.015B,5.18
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.50,+0.05,151.233B,6.80
MS,Morgan Stanley,82.29,-0.34,139.246B,14.31
WFC,Wells Fargo & Company,37.40,-0.93,141.305B,10.87
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.81,+0.68,126.205B,26.18
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,357.76,-2.54,114.768B,43.68
C,Citigroup Inc.,45.40,-0.63,89.035B,6.28
AXP,American Express Company,147.79,-0.20,110.356B,15.61
TD,The Toronto-Dominion Bank,60.65,-0.24,111.919B,9.89
BX,Blackstone Inc.,82.94,-0.34,98.821B,101.15
BLK,"BlackRock, Inc.",650.99,+8.97,98.484B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.06,+1.33,88.945B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.32,-0.05,89.208B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.60,-1.79,82.668B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
WFC-PQ,Wells Fargo & Company,25.00,+1.44,200.937B,5.17
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.047B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.29,+0.09,143.582B,2.97
HSBC,HSBC Holdings plc,37.50,+0.05,151.193B,6.79
MS,Morgan Stanley,82.29,-0.34,139.238B,14.31
WFC,Wells Fargo & Company,37.42,-0.91,141.362B,10.88
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.81,+0.68,126.205B,26.18
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,357.76,-2.54,114.768B,43.68
C,Citigroup Inc.,45.39,-0.64,89.055B,6.28
AXP,American Express Company,147.79,-0.20,110.356B,15.61
TD,The Toronto-Dominion Bank,60.66,-0.23,111.937B,9.90
BX,Blackstone Inc.,82.97,-0.31,98.85B,101.18
BLK,"BlackRock, Inc.",650.99,+8.97,98.484B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.07,+1.34,88.99B,13.34
MMC,"Marsh & McLennan Companies, Inc.",180.32,-0.05,89.208B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.60,-1.79,82.668B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.46,+0.07,63.275B,0.47
WFC-PR,Wells Fargo & Company,25.24,+0.51,186.01B,5.22
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.33,+0.13,143.782B,2.98
