id,orders
Prague_2_2024-04-04,10950.111
Prague_2_2024-04-05,10966.491
Prague_2_2024-04-06,10962.284
Prague_2_2024-04-07,10950.565
Prague_2_2024-04-08,10951.788
Prague_2_2024-04-09,10931.823
Prague_2_2024-04-10,10931.823
Prague_2_2024-04-11,10963.296
Prague_2_2024-04-12,10951.247
Prague_2_2024-04-13,10947.04
Prague_2_2024-04-14,10933.034
Prague_2_2024-04-15,10951.788
Prague_2_2024-04-16,10951.829
Prague_2_2024-04-17,10951.829
Prague_2_2024-04-18,10983.302
Prague_2_2024-04-19,10971.253
Prague_2_2024-04-20,10937.372
Prague_2_2024-04-21,10923.366
Prague_2_2024-04-22,10942.12
Prague_2_2024-04-23,10939.524
Prague_2_2024-04-24,10939.524
Prague_2_2024-04-25,10956.035
Prague_2_2024-04-26,10943.987
Prague_2_2024-04-27,10938.624
Prague_2_2024-04-28,10921.636
Prague_2_2024-04-29,10949.399
Prague_2_2024-04-30,10941.054
Prague_2_2024-05-01,10962.117
Prague_2_2024-05-02,10988.3955
Prague_2_2024-05-03,10961.442
Prague_2_2024-05-04,10933.856
Prague_2_2024-05-05,10948.278
Prague_2_2024-05-06,10967.032
Prague_2_2024-05-07,10949.354
Prague_2_2024-05-08,10960.739
Prague_2_2024-05-09,10963.296
Prague_2_2024-05-10,10951.247
Prague_2_2024-05-11,10947.04
Prague_2_2024-05-12,10933.034
Prague_2_2024-05-13,10951.788
Prague_2_2024-05-14,10931.823
Prague_2_2024-05-15,10931.823
Prague_3_2024-03-16,10982.562
Prague_3_2024-03-17,10968.556
Prague_3_2024-03-18,10987.31
Prague_3_2024-03-19,10967.345
Prague_3_2024-03-20,10948.441
Prague_3_2024-03-21,10969.143
Prague_3_2024-03-22,10957.095
Prague_3_2024-03-23,10959.485
Prague_3_2024-03-24,10957.831
Prague_3_2024-03-25,10960.044
Prague_3_2024-03-26,10950.85
Prague_3_2024-03-27,10961.681
Prague_3_2024-03-28,10967.049
Prague_3_2024-03-29,10981.556
Prague_3_2024-03-30,10961.571
Prague_3_2024-03-31,10969.616
Prague_3_2024-04-01,11010.718
Prague_3_2024-04-02,10965.065
Prague_3_2024-04-03,10950.161
Prague_3_2024-04-04,10958.254
Prague_3_2024-04-05,10974.634
Prague_3_2024-04-06,10970.427
Prague_3_2024-04-07,10958.708
Prague_3_2024-04-08,10959.931
Prague_3_2024-04-09,10939.966
Prague_3_2024-04-10,10939.966
Prague_3_2024-04-11,10971.438
Prague_3_2024-04-12,10959.39
Prague_3_2024-04-13,10955.183
Prague_3_2024-04-14,10941.177
Prague_3_2024-04-15,10959.931
Prague_3_2024-04-16,10959.972
Prague_3_2024-04-17,10959.972
Prague_3_2024-04-18,10991.444
Prague_3_2024-04-19,10979.3955
Prague_3_2024-04-20,10945.515
Prague_3_2024-04-21,10931.509
Prague_3_2024-04-22,10950.263
Prague_3_2024-04-23,10947.667
Prague_3_2024-04-24,10947.667
Prague_3_2024-04-25,10964.178
Prague_3_2024-04-26,10952.13
Prague_3_2024-04-27,10942.978
Prague_3_2024-04-28,10925.989
Prague_3_2024-04-29,10969.528
Prague_3_2024-04-30,10961.183
Prague_3_2024-05-01,10970.26
Prague_3_2024-05-02,10996.538
Prague_3_2024-05-03,10969.585
Prague_3_2024-05-04,10941.999
Prague_3_2024-05-05,10956.421
Prague_3_2024-05-06,10975.175
Prague_3_2024-05-07,10957.496
Prague_3_2024-05-08,10968.882
Prague_3_2024-05-09,10971.438
Prague_3_2024-05-10,10959.39
Prague_3_2024-05-11,10955.183
Prague_3_2024-05-12,10941.177
Prague_3_2024-05-13,10959.931
Prague_3_2024-05-14,10939.966
Prague_3_2024-05-15,10939.966
Munich_1_2024-03-16,11029.763
Munich_1_2024-03-18,11034.511
Munich_1_2024-03-19,11014.546
Munich_1_2024-03-20,10995.643
Munich_1_2024-03-21,11016.344
Munich_1_2024-03-22,11004.296
Munich_1_2024-03-23,10994.901
Munich_1_2024-03-25,10995.46
Munich_1_2024-03-26,11002.947
Munich_1_2024-03-27,11001.792
Munich_1_2024-03-28,11007.16
Munich_1_2024-03-30,11000.778
Munich_1_2024-04-02,10996.156
Munich_1_2024-04-03,10981.252
Munich_1_2024-04-04,10989.345
Munich_1_2024-04-05,10989.042
Munich_1_2024-04-06,10984.835
Munich_1_2024-04-08,10986.126
Munich_1_2024-04-09,10984.115
Munich_1_2024-04-10,10984.115
Munich_1_2024-04-11,11015.588
Munich_1_2024-04-12,11003.54
Munich_1_2024-04-13,10999.333
Munich_1_2024-04-15,11004.081
Munich_1_2024-04-16,11004.121
Munich_1_2024-04-17,11004.121
Munich_1_2024-04-18,11035.594
Munich_1_2024-04-19,11023.546
Munich_1_2024-04-20,10989.663
Munich_1_2024-04-22,10994.411
Munich_1_2024-04-23,10991.816
Munich_1_2024-04-24,10991.816
Munich_1_2024-04-25,11008.327
Munich_1_2024-04-26,10996.278
Munich_1_2024-04-27,10990.917
Munich_1_2024-04-29,11001.692
Munich_1_2024-04-30,10993.346
Munich_1_2024-05-02,11022.732
Munich_1_2024-05-03,10995.78
Munich_1_2024-05-04,10968.192
Munich_1_2024-05-06,11001.368
Munich_1_2024-05-07,10983.69
Munich_1_2024-05-08,10966.16
Munich_1_2024-05-10,11003.54
Munich_1_2024-05-11,10999.333
Munich_1_2024-05-13,11004.081
Munich_1_2024-05-14,10984.115
Munich_1_2024-05-15,10984.115
Frankfurt_1_2024-03-16,10982.562
Frankfurt_1_2024-03-18,10987.31
Frankfurt_1_2024-03-19,10967.345
Frankfurt_1_2024-03-20,10948.441
Frankfurt_1_2024-03-21,10969.143
Frankfurt_1_2024-03-22,10957.095
Frankfurt_1_2024-03-23,10947.7
Frankfurt_1_2024-03-25,10948.259
Frankfurt_1_2024-03-26,10955.746
Frankfurt_1_2024-03-27,10954.591
Frankfurt_1_2024-03-28,10959.959
Frankfurt_1_2024-03-30,10953.577
Frankfurt_1_2024-04-02,10966.91
Frankfurt_1_2024-04-03,10952.006
Frankfurt_1_2024-04-04,10960.099
Frankfurt_1_2024-04-05,10959.796
Frankfurt_1_2024-04-06,10955.589
Frankfurt_1_2024-04-08,10945.095
Frankfurt_1_2024-04-09,10941.811
Frankfurt_1_2024-04-10,10941.811
Frankfurt_1_2024-04-11,10973.283
Frankfurt_1_2024-04-12,10944.554
Frankfurt_1_2024-04-13,10940.347
Frankfurt_1_2024-04-15,10956.88
Frankfurt_1_2024-04-16,10956.92
Frankfurt_1_2024-04-17,10956.92
Frankfurt_1_2024-04-18,10988.393
Frankfurt_1_2024-04-19,10976.345
Frankfurt_1_2024-04-20,10942.462
Frankfurt_1_2024-04-22,10947.21
Frankfurt_1_2024-04-23,10944.615
Frankfurt_1_2024-04-24,10944.615
Frankfurt_1_2024-04-25,10961.126
Frankfurt_1_2024-04-26,10949.077
Frankfurt_1_2024-04-27,10943.716
Frankfurt_1_2024-04-29,10954.491
Frankfurt_1_2024-04-30,10946.145
Frankfurt_1_2024-05-02,10993.486
Frankfurt_1_2024-05-03,10966.534
Frankfurt_1_2024-05-04,10938.946
Frankfurt_1_2024-05-06,10972.122
Frankfurt_1_2024-05-07,10954.444
Frankfurt_1_2024-05-08,10936.914
Frankfurt_1_2024-05-10,10956.339
Frankfurt_1_2024-05-11,10952.132
Frankfurt_1_2024-05-13,10956.88
Frankfurt_1_2024-05-14,10936.914
Frankfurt_1_2024-05-15,10936.914
Budapest_1_2024-03-16,10982.562
Budapest_1_2024-03-17,10968.556
Budapest_1_2024-03-18,10987.31
Budapest_1_2024-03-19,10967.345
Budapest_1_2024-03-20,10948.441
Budapest_1_2024-03-21,10969.143
Budapest_1_2024-03-22,10957.095
Budapest_1_2024-03-23,10959.485
Budapest_1_2024-03-24,10957.831
Budapest_1_2024-03-25,10960.044
Budapest_1_2024-03-26,10950.85
Budapest_1_2024-03-27,10949.694
Budapest_1_2024-03-28,10917.024
Budapest_1_2024-03-30,10927.323
Budapest_1_2024-04-02,10919.785
Budapest_1_2024-04-03,10904.881
Budapest_1_2024-04-04,10912.974
Budapest_1_2024-04-05,10929.353
Budapest_1_2024-04-06,10925.1455
Budapest_1_2024-04-07,10928.886
Budapest_1_2024-04-08,10956.88
Budapest_1_2024-04-09,10936.914
Budapest_1_2024-04-10,10936.914
Budapest_1_2024-04-11,10968.387
Budapest_1_2024-04-12,10956.339
Budapest_1_2024-04-13,10952.132
Budapest_1_2024-04-14,10938.126
Budapest_1_2024-04-15,10956.88
Budapest_1_2024-04-16,10956.92
Budapest_1_2024-04-17,10956.92
Budapest_1_2024-04-18,10988.393
Budapest_1_2024-04-19,10976.345
Budapest_1_2024-04-20,10942.462
Budapest_1_2024-04-21,10928.456
Budapest_1_2024-04-22,10947.21
Budapest_1_2024-04-23,10944.615
Budapest_1_2024-04-24,10944.615
Budapest_1_2024-04-25,10961.126
Budapest_1_2024-04-26,10949.077
Budapest_1_2024-04-27,10943.716
Budapest_1_2024-04-28,10926.728
Budapest_1_2024-04-29,10954.491
Budapest_1_2024-04-30,10946.145
Budapest_1_2024-05-02,10993.486
Budapest_1_2024-05-03,10966.534
Budapest_1_2024-05-04,10938.946
Budapest_1_2024-05-05,10953.368
Budapest_1_2024-05-06,10972.122
Budapest_1_2024-05-07,10954.444
Budapest_1_2024-05-08,10936.914
Budapest_1_2024-05-09,10968.387
Budapest_1_2024-05-10,10956.339
Budapest_1_2024-05-11,10952.132
Budapest_1_2024-05-12,10938.126
Budapest_1_2024-05-13,10956.88
Budapest_1_2024-05-14,10936.914
Budapest_1_2024-05-15,10936.914
