date,holiday_name,holiday,shutdown,mini_shutdown,warehouse_limited,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,warehouse
2022-12-12,,0,0,0,0,0,0,0,0,1.0,0,1.5,4.0,Prague_1
2023-01-29,,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1
2023-10-01,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-11-20,,0,0,0,0,0,0,0,0,1.0,0,0.4,1.0,Prague_1
2022-08-22,,0,0,0,0,0,0,0,0,0.0,0,11.4,0.0,Prague_1
2019-04-22,Easter Monday,1,0,0,0,1,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-07-04,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-02-25,,0,0,0,0,0,0,0,0,0.0,0,1.1,0.0,Prague_1
2022-04-02,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-04-19,,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1
2020-07-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-02-26,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-10-01,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-12-08,,0,0,0,0,0,0,0,0,0.0,0,0.8,0.0,Prague_1
2021-12-02,,0,0,0,0,0,0,0,0,0.0,0,0.7,0.0,Prague_1
2021-04-26,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-07-29,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-11-26,,0,0,0,0,0,0,0,0,0.0,0,1.4,2.0,Prague_1
2022-05-18,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-03-30,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-03-31,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-07-09,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-02-22,,0,0,0,0,0,1,0,0,0.0,0,0.25,0.0,Prague_1
2019-04-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-02-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-10-19,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-07-31,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-06-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-11-23,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-10-21,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-03-03,,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1
2021-03-01,,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1
2019-08-31,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-09-04,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-03-06,,0,0,0,0,0,0,0,0,1.0,0,0.3,0.0,Prague_1
2023-05-20,,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1
2020-01-16,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-01-15,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-07-14,,0,0,0,0,0,0,0,0,0.0,0,2.9,0.0,Prague_1
2020-02-15,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-12-13,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-04-17,,0,0,0,0,0,0,0,0,1.0,0,0.5,0.0,Prague_1
2023-05-16,,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1
2023-02-06,,0,0,0,0,0,1,0,0,1.0,0,0.0,0.0,Prague_1
2020-12-25,1st Christmas Day,1,0,0,0,1,0,0,0,0.0,0,0.4,0.0,Prague_1
2020-07-05,Cyrila a Metodej,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-05-02,,0,0,0,0,0,0,0,0,0.0,0,0.9,0.0,Prague_1
2021-04-04,,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-05-07,,0,0,0,0,0,0,0,0,0.0,0,0.78,0.0,Prague_1
2019-06-06,,0,0,0,0,0,0,0,0,0.0,0,15.6,0.0,Prague_1
2023-12-05,,0,0,0,0,0,0,0,0,0.0,0,0.6,12.0,Prague_1
2022-11-04,,0,0,0,0,0,0,0,0,1.0,0,21.1,0.0,Prague_1
2023-06-05,,0,0,0,0,0,0,0,0,1.0,0,14.6,0.0,Prague_1
2021-02-17,,0,0,0,0,0,0,0,0,0.0,0,2.0,6.0,Prague_1
2020-04-19,,0,0,0,0,0,0,0,0,0.0,0,0.1,0.0,Prague_1
2019-11-27,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-11-05,,0,0,0,0,0,0,0,0,0.0,0,1.5,0.0,Prague_1
2020-09-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-01-30,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-07-20,,0,0,0,0,0,0,0,0,0.0,0,0.4,0.0,Prague_1
2020-03-19,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-05-20,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-01-26,,0,0,0,0,0,0,0,0,0.0,0,0.4,1.0,Prague_1
2020-04-03,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-08-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-10-24,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-07-01,,0,0,0,0,0,0,0,0,0.0,0,0.1,0.0,Prague_1
2021-05-28,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-09-20,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-03-02,,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1
2023-08-07,,0,0,0,0,0,0,0,0,0.0,0,2.7,0.0,Prague_1
2022-04-06,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-03-18,,0,0,0,0,0,0,0,0,0.0,0,0.5,0.0,Prague_1
2022-01-24,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-06-26,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-04-21,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-11-08,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-02-06,,0,0,0,0,0,0,0,0,0.0,0,3.6,3.0,Prague_1
2020-07-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-06-18,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-03-20,,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1
2023-10-04,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-06-03,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-01-27,,0,0,0,0,0,0,0,0,0.0,0,0.35,0.0,Prague_1
2019-07-24,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-02-28,,0,0,0,0,0,0,0,0,0.0,0,0.8,0.0,Prague_1
2024-01-24,,0,0,0,0,0,0,0,0,0.0,0,2.3,0.0,Prague_1
2022-03-26,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-11-25,,0,0,0,0,0,0,0,0,0.0,0,1.6,0.0,Prague_1
2024-01-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-09-18,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-11-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-10-30,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-05-30,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-05-08,Den osvobozeni,1,0,0,0,1,0,0,0,0.0,0,0.0,0.0,Prague_1
2024-02-05,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-08-27,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-08-31,,0,0,0,0,0,0,0,0,0.0,0,1.6,0.0,Prague_1
2021-09-01,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-09-05,,0,0,0,0,0,0,0,0,0.0,0,3.6,0.0,Prague_1
2019-09-02,,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1
2020-08-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-12-22,,0,0,0,0,0,0,0,0,0.0,0,3.1,0.0,Prague_1
2023-06-19,,0,0,0,0,0,0,0,0,1.0,0,0.3,0.0,Prague_1
2022-11-07,,0,0,0,0,0,0,0,0,1.0,0,0.2,0.0,Prague_1
2022-11-30,,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1
2021-09-17,,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,Prague_1
2020-05-12,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-07-10,,0,0,0,0,0,0,0,0,0.0,0,0.4,0.0,Prague_1
2020-07-17,,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,Prague_1
2022-09-11,,0,0,0,0,0,0,0,0,0.0,0,2.0,0.0,Prague_1
2019-09-13,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-05-13,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-11-10,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-08-17,,0,0,0,0,0,0,0,0,0.0,0,3.3,0.0,Prague_1
2023-10-10,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-12-12,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-10-12,,0,0,0,0,0,0,0,0,0.0,0,1.4,0.0,Prague_1
2020-07-14,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-03-16,,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,Prague_1
2020-04-15,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-01-16,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2024-01-10,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-09-17,,0,0,0,0,0,0,0,0,0.0,0,1.6,0.0,Prague_1
2024-01-14,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-09-15,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-09-16,,0,0,0,0,0,0,0,0,0.0,0,1.2,0.0,Prague_1
2021-04-17,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-10-10,,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1
2020-02-14,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-10-11,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-08-14,,0,0,0,0,0,0,0,0,0.0,0,4.2,0.0,Prague_1
2020-04-17,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-10-08,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-09-16,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-03-15,,0,0,0,0,0,1,0,0,0.0,0,3.22,0.0,Prague_1
2022-03-13,,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1
2024-01-16,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-05-15,,0,0,0,0,0,0,0,0,0.0,0,2.6,0.0,Prague_1
2019-06-11,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-12-11,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-12-17,,0,1,0,1,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-01-17,,0,0,0,0,0,0,0,0,1.0,0,0.1,0.0,Prague_1
2022-10-15,,0,0,0,0,0,0,0,0,1.0,0,4.0,0.0,Prague_1
2023-06-11,,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1
2021-01-01,New Years Day,1,0,0,0,1,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-04-16,,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-07-06,Jan Hus,1,0,0,0,0,0,0,0,0.0,0,1.43,0.0,Prague_1
2020-04-13,Easter Monday,1,0,0,0,1,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-04-10,Easter Monday,1,0,0,0,1,0,0,0,1.0,0,0.0,0.0,Prague_1
2020-04-30,,0,0,0,0,0,0,0,0,0.0,0,2.2,0.0,Prague_1
2021-12-24,Christmas Eve,1,0,0,0,0,0,0,0,0.0,0,2.6,0.0,Prague_1
2019-01-02,,0,0,0,0,0,0,0,0,0.0,0,0.6,0.0,Prague_1
2024-02-08,,0,0,0,0,0,0,0,0,0.0,0,7.3,1.0,Prague_1
2020-05-23,,0,0,0,0,0,0,0,0,0.0,0,5.5,0.0,Prague_1
2020-03-03,,0,0,0,0,0,0,0,0,0.0,0,8.5,0.0,Prague_1
2020-07-02,,0,0,0,0,0,0,0,0,0.0,0,10.0,0.0,Prague_1
2021-02-04,,0,0,0,0,0,0,0,0,0.0,0,6.1,0.0,Prague_1
2021-08-01,,0,0,0,0,0,0,0,0,0.0,0,19.2,0.0,Prague_1
2021-11-04,,0,0,0,0,0,0,0,0,0.0,0,7.0,0.0,Prague_1
2023-12-01,,0,0,0,0,0,0,0,0,0.0,0,9.6,4.0,Prague_1
2023-03-30,,0,0,0,0,0,0,0,0,1.0,0,14.4,0.0,Prague_1
2022-06-13,,0,0,0,0,0,0,0,0,0.0,0,5.75,0.0,Prague_1
2022-09-14,,0,0,0,0,0,0,0,0,0.0,0,9.3,0.0,Prague_1
2019-11-12,,0,0,0,0,0,0,0,0,0.0,0,10.3,0.0,Prague_1
2021-11-01,,0,0,0,0,0,0,0,0,0.0,0,10.0,0.0,Prague_1
2021-01-31,,0,0,0,0,0,0,0,0,0.0,0,1.0,1.0,Prague_1
2024-01-28,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-07-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-12-02,,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1
2023-07-31,,0,0,0,0,0,0,0,0,0.0,0,,,Prague_1
2021-02-18,,0,0,0,0,0,0,0,0,0.0,0,0.3,2.0,Prague_1
2022-08-03,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-07-29,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-08-18,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-08-21,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-05-06,,0,0,0,0,0,0,0,0,0.0,0,0.25,0.0,Prague_1
2023-10-09,,0,0,0,0,0,0,0,0,0.0,0,5.0,0.0,Prague_1
2021-08-04,,0,0,0,0,0,0,0,0,0.0,0,3.2,0.0,Prague_1
2019-12-03,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-01-26,,0,0,0,0,0,0,0,0,0.0,0,0.0,3.0,Prague_1
2022-08-09,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-03-22,,0,0,0,0,0,0,0,0,0.0,0,1.5,0.0,Prague_1
2019-06-30,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-02-04,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-09-26,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-10-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-11-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-10-21,,0,0,0,0,0,0,0,0,0.0,0,0.5,0.0,Prague_1
2022-05-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2024-02-01,,0,0,0,0,0,0,0,0,0.0,0,1.1,0.0,Prague_1
2021-10-20,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-03-09,,0,0,0,0,0,0,0,0,0.0,0,0.2,0.0,Prague_1
2021-06-07,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-02-27,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-04-04,,0,0,0,0,0,0,0,0,0.0,0,0.56,0.8,Prague_1
2022-01-31,,0,0,0,0,0,0,0,0,0.0,0,0.11,1.34,Prague_1
2020-09-23,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-05-18,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-05-27,,0,0,0,0,0,0,0,0,0.0,0,3.8,0.0,Prague_1
2021-03-19,,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,Prague_1
2023-10-23,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-01-04,,0,0,0,0,0,0,0,0,0.0,0,0.2,2.0,Prague_1
2023-07-29,,0,0,0,0,0,0,0,0,0.0,0,0.9,0.0,Prague_1
2019-06-01,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-05-30,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-08-01,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-03-26,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-07-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-01-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-05-28,,0,0,0,0,0,0,0,0,0.0,0,0.1,0.0,Prague_1
2023-08-20,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-09-20,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-01-19,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-10-26,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-09-19,,0,0,0,0,0,0,0,0,0.0,0,3.0,0.0,Prague_1
2021-01-24,,0,0,0,0,0,0,0,0,0.0,0,2.5,1.0,Prague_1
2022-08-08,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-08-21,,0,0,0,0,0,0,0,0,0.0,0,2.4,0.0,Prague_1
2021-05-06,,0,0,0,0,0,0,0,0,0.0,0,2.8,0.0,Prague_1
2019-12-06,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2024-01-09,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-10-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-11-21,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-02-28,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-10-08,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-08-19,,0,0,0,0,0,0,0,0,0.0,0,0.9,0.0,Prague_1
2022-04-26,,0,0,0,0,0,0,0,0,0.0,0,0.32,0.0,Prague_1
2020-01-24,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-03-06,,0,0,0,0,0,0,0,0,0.0,0,0.5,0.0,Prague_1
2020-09-21,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-11-09,,0,0,0,0,0,0,0,0,0.0,0,0.9,0.0,Prague_1
2022-04-03,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-01-21,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-10-19,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-06-24,,0,0,0,0,0,0,0,0,0.0,0,2.8,0.0,Prague_1
2019-06-04,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-05-28,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-08-01,,0,0,0,0,0,0,0,0,0.0,0,2.76,0.0,Prague_1
2021-12-03,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-08-07,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2024-02-24,,0,0,0,0,0,1,0,0,0.0,0,0.5,0.0,Prague_1
2024-02-22,,0,0,0,0,0,1,0,0,0.0,0,2.9,0.0,Prague_1
2020-12-09,,0,0,0,0,0,0,0,0,0.0,0,0.5,0.0,Prague_1
2020-11-24,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-06-08,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-07-26,,0,0,0,0,0,0,0,0,0.0,0,0.7,0.0,Prague_1
2019-05-04,,0,0,0,0,0,0,0,0,0.0,0,1.5,0.0,Prague_1
2021-11-28,,0,0,0,0,0,0,0,0,0.0,0,2.4,0.0,Prague_1
2019-11-03,,0,0,0,0,0,0,0,0,0.0,0,3.3,0.0,Prague_1
2024-01-30,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-12-05,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2024-01-08,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2020-06-08,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-01-22,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2019-04-09,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-02-07,,0,0,0,0,0,1,0,0,0.0,0,3.61,1.15,Prague_1
2022-03-06,,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1
2023-12-28,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-08-25,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-09-03,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2022-08-30,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2021-09-02,,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1
2023-08-27,,0,0,0,0,0,0,0,0,0.0,0,4.7,0.0,Prague_1
