V1,V2
5.2756,0.13863
3.4312,6.2637
4.052,-0.16555
1.3638,-4.7759
0.89566,7.7763
1.9265,7.7557
0.20977,-0.46146
4.068,-2.9363
2.877,-4.0599
0.3223,-0.89808
-1.3,10.2678
1.7747,-6.4334
1.3419,-4.4221
0.89606,10.5471
0.44125,2.9487
3.2422,6.2265
2.5678,3.5136
-2.2153,11.9625
4.1349,6.1189
1.934,-0.000009
2.5068,1.1588
2.1464,6.0795
0.051979,7.0521
1.2706,8.035
1.143,0.83391
2.2928,9.0386
0.3292,-4.4552
2.9719,6.8369
1.6849,8.7489
-1.9177,11.6894
2.3729,10.4726
1.0284,9.767
0.27451,9.2186
1.6032,-4.7863
4.616,10.1788
4.2478,7.6956
4.0215,-2.7004
5.0297,-4.9704
1.5902,2.2948
2.1274,5.1939
1.1811,8.3847
0.3292,-4.4552
5.7353,5.2808
2.6718,5.6574
1.5799,-4.7076
2.9499,2.2493
0.5195,-3.2633
3.7352,9.5911
-1.7344,2.0175
3.884,10.0277
3.5257,1.2829
4.4549,2.4976
-0.16108,-6.4624
4.2164,9.4607
3.5152,6.8224
1.6988,2.9094
1.0607,2.4542
2.0421,1.2436
3.5594,1.3078
3.0009,5.8126
3.9294,1.4112
3.4667,-4.0724
3.966,3.9213
1.0191,2.33
0.96414,5.616
1.8205,6.7562
4.9923,7.8653
-1.1804,11.5093
4.0329,0.23175
0.66018,10.3878
3.5982,7.1307
-1.8584,7.886
4.0972,0.46972
3.3299,0.91254
3.1088,3.1122
-4.2859,8.5234
-1.2528,10.2036
0.5195,-3.2633
0.3292,-4.4552
0.88872,5.3449
3.5458,9.3718
-0.21661,8.0329
2.7206,9.0821
3.2051,8.6889
2.6917,10.8161
-2.3242,11.5176
2.7161,-4.2006
3.3848,3.2674
1.7452,4.8028
2.805,0.57732
5.7823,5.5788
3.8999,1.734
3.5189,6.332
3.2294,7.7391
3.4985,3.1639
2.1948,1.3781
2.2526,9.9636
4.1529,-3.9358
0.74307,11.17
1.9105,8.871
-1.5055,0.070346
0.58836,10.7727
3.2303,7.8384
-1.9922,11.6542
2.8523,9.0096
4.2772,2.4955
1.5099,0.039307
5.4188,10.1457
0.86202,2.6963
3.8117,10.1457
0.54777,10.3754
2.3718,7.4908
-2.4953,11.1472
4.6361,-2.6611
-2.2527,11.5321
3.7982,10.423
-0.36279,8.2895
2.1265,6.8783
0.86736,5.5643
3.7831,10.0526
-2.2623,12.1177
1.2616,4.4303
2.6799,3.1349
-0.39816,5.9781
4.3937,0.35798
2.9695,5.6222
1.3049,-0.15521
2.2123,-5.8395
1.9647,6.9383
3.0864,-2.5845
0.3798,0.7098
0.58982,7.4266
0.14783,7.946
-0.062025,6.1975
4.223,1.1319
0.64295,7.1018
1.941,0.46351
4.0047,0.45937
3.7767,9.7794
3.4769,-0.15314
1.9818,9.2621
3.8023,-3.8696
4.3483,11.1079
1.1518,1.3864
-1.2576,1.5892
1.9572,-5.1153
-2.484,12.1611
-1.1497,1.2954
4.8368,10.0132
-0.12196,8.8068
1.9429,6.3961
1.742,-4.809
-1.5222,10.8409
-1.3,10.2678
3.4246,-0.14693
2.5503,-4.9518
1.5691,6.3465
1.3087,4.9228
5.1776,8.2316
2.229,9.6325
5.6272,10.0857
1.2138,8.7986
0.3798,0.7098
0.5415,6.0319
4.0524,5.6802
4.7285,2.1065
3.4359,0.66216
0.86816,10.2429
3.359,9.8022
3.6702,2.9942
1.3349,6.1189
3.1887,-3.4143
2.4527,2.9653
3.9121,2.9735
3.9364,10.5885
3.9414,-3.2902
3.6922,-3.9585
5.681,7.795
0.77124,9.0862
3.5761,9.7753
1.602,6.1251
2.6682,10.216
2.0007,1.8644
0.64215,3.1287
4.3848,-3.0729
0.77445,9.0552
0.96574,8.393
3.0948,8.7324
4.9362,7.6046
-1.9458,11.2217
5.7403,-0.44284
-2.6989,12.1984
1.1472,3.5985
2.9742,8.96
4.5707,7.2094
0.1848,6.5079
0.87256,9.2931
0.39559,6.8866
3.8384,6.1851
2.8209,7.3108
2.5817,9.7546
3.8213,0.23175
0.3798,0.7098
3.4893,6.69
-1.7781,0.8546
2.0962,2.4769
0.94732,-0.57113
2.8261,9.4007
0.007125,8.3661
0.96788,7.1907
4.7432,2.1086
3.6575,7.2797
3.8832,6.4023
3.4776,8.811
1.1315,7.9212
2.8237,2.8597
1.9321,6.0423
3.0632,-3.3315
-1.8411,10.8306
2.8084,11.3045
2.5698,-4.4076
-0.12624,10.3216
3.3756,-4.0951
-0.048008,-1.6037
0.5706,-0.0248
0.88444,6.5906
3.8644,3.7061
1.2999,2.5762
2.0051,-6.8638
4.9294,0.27727
2.8297,6.3485
2.565,8.633
2.093,8.3061
4.6014,5.6264
5.0617,-0.35799
-0.2951,9.0489
3.577,2.4004
3.9433,2.5017
2.6648,10.754
5.9374,6.1664
2.0153,1.8479
5.8782,5.9409
-2.3983,12.606
1.762,4.3682
4.2406,-2.4852
3.4669,6.87
3.1896,5.7526
0.81356,9.1566
0.52855,0.96427
2.1319,-2.0403
0.33111,4.5731
1.2746,8.8172
2.2091,7.4556
2.5328,7.528
3.6244,1.4609
-1.3885,12.5026
5.7227,5.8312
3.3583,10.3567
2.5227,2.2369
0.045304,6.7334
4.8278,7.7598
1.9476,-4.7738
2.7659,0.66216
-0.10648,-0.76771
0.72252,-0.053811
4.2475,1.4816
3.9772,0.33521
3.6667,4.302
2.8232,10.8513
-1.4217,11.6542
4.2458,1.1981
4.1038,-4.8069
1.4507,8.7903
3.4647,-3.9172
1.8533,6.1458
3.5288,0.71596
3.9719,1.0367
3.534,9.3614
3.6894,9.887
3.0672,-4.4117
2.6463,-4.8152
2.2893,3.733
1.5673,7.9274
4.0405,0.51524
4.3846,-4.8794
2.0165,-0.25246
4.0446,11.1741
-0.33729,-0.64976
-2.4604,12.7302
4.1195,10.9258
2.0193,0.82356
1.5701,7.9129
2.6415,7.586
5.0214,8.0764
4.3435,3.3295
1.8238,-6.7748
3.9382,0.9291
2.2517,-5.1422
5.504,10.3671
2.8521,9.171
1.1676,9.1566
2.6104,8.0081
0.32444,10.067
3.8962,-4.7904
2.1752,-0.8091
1.1588,8.9331
4.7072,8.2957
-1.9667,11.8052
4.0552,0.40143
2.3678,-6.839
0.33565,6.8369
4.3398,-5.3036
1.5456,8.5482
1.4276,8.3847
-0.27802,8.1881
0.93611,8.6413
4.6352,-3.0087
1.5268,-5.5871
0.95626,2.4728
-2.7914,1.7734
5.2032,3.5116
3.1836,7.2321
0.65497,5.1815
5.6084,10.3009
1.105,7.4432
3.9292,-2.9156
1.1558,6.4003
2.5581,2.6218
2.7831,10.9796
3.7635,2.7811
-2.6479,10.1374
1.0652,8.3682
-1.4275,11.8797
5.7456,10.1808
5.086,3.2798
3.4092,5.4049
-0.2361,9.3221
3.8197,8.9951
-1.1391,1.8127
4.9249,0.68906
2.5089,6.841
-0.2062,9.2207
3.946,6.8514
-0.278,8.1881
1.8592,3.2074
0.56953,7.6294
3.4626,-4.449
3.3951,1.1484
5.0429,-0.52974
3.7758,7.1783
4.6562,7.6398
4.0948,-2.9674
1.8384,6.063
2.0153,0.43661
3.5251,0.7201
3.757,-5.4236
2.5989,3.5178
1.8994,0.97462
3.6941,-3.9482
4.4295,-2.3507
6.8248,5.2187
1.8967,-2.5163
2.1526,-6.1665
3.3004,7.0811
2.7213,7.05
3.8846,-3.0336
4.1665,-0.4449
0.94225,5.8561
5.1321,-0.031048
0.38251,6.8121
3.0333,-2.5928
2.9233,6.0464
1.162,10.2926
3.7791,2.5762
0.77765,5.9781
-0.38388,-1.0471
0.21084,9.4359
2.9571,-4.5938
4.6439,-3.3729
3.3577,-4.3062
3.5127,2.9073
2.6562,10.7044
-1.3612,10.694
-0.278,8.1881
1.04,-6.9321
2.1881,2.7356
4.2756,-2.6528
-0.11996,6.8741
2.9736,8.7944
3.7798,-3.3109
5.3586,3.7557
1.8373,6.1292
1.2262,0.89599
-0.048008,-0.56078
0.5706,-0.024841
4.3634,0.46351
3.482,-4.1634
0.51947,-3.2633
2.3164,-2.628
-1.8348,11.0334
1.3754,8.8793
-0.16682,5.8974
0.29961,7.1328
0.25035,9.3262
2.4673,1.3926
0.77805,6.6424
3.4465,2.9508
2.2429,-4.1427
3.7321,-3.884
4.3365,-3.584
-2.0759,10.8223
4.0715,7.6398
0.76163,5.8209
-0.53966,7.3273
2.6213,5.7919
3.0242,-3.3378
5.8519,5.3905
0.5706,-0.0248
3.9771,11.1513
1.5478,9.1814
0.74054,0.36625
0.49571,10.2243
1.645,7.8612
3.6077,6.8576
3.2403,-3.7082
3.9166,10.2491
3.9262,6.0299
5.591,10.4643
3.7522,-3.6978
1.3114,4.5462
3.7022,6.9942
4.364,-3.1039
3.5829,1.4423
4.65,-4.8297
5.1731,3.9606
3.2692,3.4184
2.4012,1.6223
1.7257,-4.4697
4.7965,6.9859
4.0962,10.1891
2.5559,3.3605
3.4916,8.5709
0.5195,-3.2633
2.9856,7.2673
4.0932,5.4132
1.7748,-0.76978
5.2012,0.32694
-0.45062,-1.3678
4.8451,8.1116
0.74841,7.2756
5.1213,8.5565
3.6181,-3.7454
0.040498,8.5234
-2.6479,10.1374
0.37984,0.70975
-0.95923,0.091039
2.8672,10.0008
1.0182,9.109
-2.7143,11.4535
3.8244,-3.1081
2.7961,2.121
3.5358,6.7086
-0.7056,8.7241
4.1542,7.2756
0.92703,9.4318
1.8216,-6.4748
-2.4473,12.6247
3.5862,-3.0957
0.66191,9.6594
4.7926,1.7071
4.9852,8.3516
0.75736,3.0294
4.6499,7.6336
-0.023579,7.1742
0.85574,0.008268
0.88298,0.66009
4.0422,-4.391
2.2546,8.0992
0.38478,6.5989
3.1541,-5.1711
2.3969,0.23589
4.7114,2.0755
4.0127,10.1477
2.6606,3.1681
3.931,1.8541
0.01727,8.693
3.2414,0.40971
2.2504,3.5757
-1.3971,3.3191
0.39012,-0.14279
-1.6677,-7.1535
-3.8483,-12.8047
-3.5681,-8.213
-2.2804,-0.30626
-1.7582,2.7397
-0.89409,3.1991
0.3434,0.12415
-0.9854,-6.661
-2.4115,-9.1359
-1.5252,-6.2534
-0.61442,-0.091058
-0.36506,2.8928
-5.9034,6.5679
-1.8215,2.7521
-0.77461,-1.8768
-1.8187,-9.0366
-3.5801,-12.9309
-1.8219,-6.8824
-0.3481,-0.38696
0.47368,3.3605
-3.4083,4.8587
-1.6662,-0.30005
-2.0962,-7.1059
-2.6685,-10.4519
-0.47465,-4.3496
1.0552,1.1857
1.1644,3.8095
-4.4779,7.3708
-2.7338,0.45523
-2.286,-5.4484
-1.6244,-6.3444
0.50813,0.47799
1.6408,4.2503
0.81583,4.84
-5.4901,9.1048
-3.2238,2.7935
-2.0631,-1.5147
-0.91318,-2.0113
0.6005,1.9327
0.91315,3.3377
-0.28015,3.0729
-3.6085,3.3253
-6.2003,8.6806
-4.2932,3.3419
-3.0265,-0.062088
-1.7015,-0.010356
-0.64326,2.4748
-0.86339,1.9348
-2.0659,1.0512
-2.1333,1.5685
-1.2568,-1.4733
-3.1128,-6.841
-4.8554,-5.9037
-2.588,3.8654
0.24394,1.4733
-1.5322,-5.0966
-4.0025,-13.4979
-4.0173,-8.3123
-3.0731,-0.53181
-1.979,3.2301
-0.4294,-0.14693
-2.234,-7.0314
-4.211,-12.4736
-3.8073,-8.0971
-2.5912,-0.10554
-2.2482,3.0915
-1.4427,3.2922
-0.39416,-0.020702
-1.522,-6.6383
-2.8267,-9.0407
-1.7263,-6.0237
-0.94255,0.039307
-0.89569,3.0025
-6.2815,6.6651
-2.3211,3.166
-1.3414,-2.0776
-2.258,-9.3263
-3.8858,-12.8461
-1.8969,-6.7893
-0.52645,-0.24832
0.009661,3.5612
-3.8826,4.898
-2.1405,-0.16762
-2.4824,-7.3046
-2.9098,-10.0712
-0.60975,-4.002
0.83625,1.1071
0.60731,3.9544
-4.8861,7.0542
-3.1366,0.42212
-2.5754,-5.6574
-1.8782,-6.5865
0.24261,0.57318
1.296,4.2855
0.25943,5.0097
-5.873,9.1752
-3.4605,2.6901
-2.3797,-1.4402
-1.2424,-1.7175
0.20216,1.9182
0.59823,3.5012
-0.77995,3.2322
-4.1409,3.4619
-6.5084,8.7696
-4.4996,3.4288
-3.3125,0.10139
-1.9423,0.3766
-0.75793,2.5349
-0.95403,1.9824
-2.2173,1.4671
-2.799,1.9679
-1.8629,-0.84841
-3.5916,-6.2285
-5.1216,-5.3118
-3.2854,4.0372
-0.56877,1.4174
-2.3518,-4.8359
-4.4861,-13.2889
-4.3876,-7.7267
-3.3604,-0.32696
-1.0112,2.9984
0.030219,-1.0512
-1.6514,-8.4985
-3.2692,-12.7406
-2.5701,-6.8452
-1.3066,0.25244
-1.6637,3.2881
-0.55008,2.8659
0.21431,-0.69529
-0.77288,-7.4473
-1.8391,-9.0883
-0.63298,-5.1277
0.004055,0.62905
-0.28696,3.1784
-5.2406,6.6258
-1.4446,2.1438
-0.65767,-2.8018
-1.5449,-10.1498
-2.8957,-12.0205
-0.81479,-5.7381
0.50225,0.65388
0.74521,3.6357
-2.9146,4.0537
-1.3907,-1.3781
-1.786,-8.1157
-1.7322,-9.2828
0.55298,-3.4619
2.031,1.852
1.2279,4.0309
-4.2249,6.2699
-2.5346,-0.77392
-1.749,-6.332
-0.539,-5.167
1.5631,0.89599
2.3917,4.5565
0.89512,4.7738
-5.4808,8.1819
-2.8833,1.7713
-1.4174,-2.2535
0.4283,-0.94981
1.5904,2.2121
1.7425,3.6833
-0.23356,3.2405
-3.6227,3.9958
-6.1536,7.9295
-3.9172,2.6652
-2.2214,-0.23798
-0.49241,0.89392
0.26517,2.4066
-0.10234,1.8189
-1.6176,1.0926
-1.8448,1.254
-1.2786,-2.4087
-2.902,-7.6563
-4.3773,-5.5167
-2.0529,3.8385
0.18868,0.70148
-1.7279,-6.841
-3.3793,-13.7731
-3.1273,-7.1121
-2.121,-0.05588
-1.7697,3.4329
-0.001285,0.13863
-1.682,-6.8121
-3.4917,-12.1736
-3.1158,-8.6289
-2.0891,-0.48422
-1.6936,2.7852
-1.2846,3.2715
-0.092194,0.39315
-1.0292,-6.3879
-2.2083,-9.1069
-1.0744,-6.3113
-0.51003,-0.23591
-0.36372,3.0439
-6.3979,6.4479
-2.2501,3.3129
-1.1859,-1.2519
-1.8076,-8.8131
-3.3863,-12.9889
-1.4106,-7.108
-0.21394,-0.68287
0.48797,3.5674
-3.8167,5.1401
-1.9555,0.20692
-2.1786,-6.4479
-2.3299,-9.9532
0.00312,-4.0061
1.3518,1.0595
1.2309,3.8923
-5.0301,7.5032
-3.0799,0.60836
-2.2987,-5.227
-1.239,-6.541
0.75896,0.29176
1.6799,4.2068
0.63655,5.2022
-6.0598,9.2952
-3.518,2.8763
-2.0336,-1.4092
-0.69745,-1.7672
0.75108,1.9161
0.84546,3.4826
-0.55648,3.2136
-3.6817,3.2239
-6.7526,8.8172
-4.577,3.4515
-2.9883,0.31245
-1.4781,0.14277
-0.46651,2.3383
-0.8734,1.6533
-2.1234,1.1815
-2.3142,2.0838
-1.4233,-0.98912
-3.0866,-6.6362
-4.7331,-6.1789
-2.8829,3.8964
-0.036127,1.525
-1.7104,-4.778
-3.8203,-13.0551
-3.7181,-8.5089
-2.899,-0.60424
-0.98193,2.7956
-0.17296,-1.1816
-1.9409,-8.6848
-3.5713,-12.4922
-2.9915,-6.6258
-1.8483,0.31038
-2.2677,3.2964
-0.50816,2.868
0.14329,-1.0885
-0.90784,-7.9026
-2.0042,-9.3676
-0.93587,-5.1008
-0.40804,0.54214
-0.8172,3.3812
-4.8392,6.6755
-1.2792,2.1376
-0.66008,-3.226
-1.7713,-10.7665
-3.0061,-12.2377
-1.1022,-5.8395
0.11806,0.39108
0.11686,3.735
-2.7264,3.9213
-1.2369,-1.6906
-1.8439,-8.6475
-1.8554,-9.6035
0.16358,-3.3584
1.5077,1.9596
0.67886,4.1199
-3.9934,5.8333
-2.3898,-0.78427
-1.7976,-6.7686
-0.70867,-5.5602
1.0194,1.1029
1.7875,4.78
0.27331,4.8773
-5.1661,8.0433
-2.7028,1.6327
-1.4904,-2.2183
-0.014902,-1.0243
0.88992,2.2638
1.0637,3.6957
-0.8471,3.1329
-3.9594,4.0289
-5.8818,7.6584
-3.7747,2.5162
-2.4198,-0.24418
-0.83535,0.80494
-0.30432,2.6528
-0.60254,1.7237
-2.1059,1.1815
-2.0441,1.2271
-1.5621,-2.2121
-3.2305,-7.2135
-4.8426,-4.9932
-2.3147,3.6668
-0.11716,0.60422
-2.0066,-6.719
-3.6961,-13.6779
-3.6012,-6.5389
-2.6286,0.18002
-0.82601,2.9611
0.31803,-0.99326
-1.4454,-8.4385
-3.1423,-13.0365
-2.5373,-6.959
-1.366,0.18416
-1.7064,3.3088
-0.41965,2.9094
0.37637,-0.82358
-0.55355,-7.9233
-1.6001,-9.5828
-0.37013,-5.554
0.12126,0.22347
-0.27068,3.2674
-5.119,6.6486
-1.3946,2.3134
-0.69879,-3.3771
-1.48,-10.5244
-2.6649,-12.813
-0.62684,-6.301
0.518,0.25865
0.64376,3.764
-2.9821,4.1986
-1.4628,-1.5706
-1.7101,-8.7903
-1.5572,-9.8808
0.74428,-3.7723
2.0177,1.7982
1.164,3.913
-4.3667,6.0692
-2.5919,-1.0553
-1.8046,-6.8141
-0.71868,-5.7154
1.4378,0.66837
2.1943,4.5503
0.7376,4.8525
-5.637,8.1261
-3.0193,1.7775
-1.6706,-2.09
-0.1269,-1.1505
1.2198,2.0982
1.4501,3.6067
-0.40857,3.0977
-3.8952,3.8157
-6.3679,8.0102
-4.1429,2.7749
-2.6864,-0.097265
-1.0555,0.79459
-0.29858,2.4769
-0.49948,1.7734
-1.9881,0.99945
-1.9389,1.5706
-1.4375,-1.8624
-3.1875,-7.5756
-4.6765,-5.6636
-2.0285,3.8468
0.26637,0.73252
-1.7589,-6.4624
-3.5985,-13.6593
-3.3582,-7.2404
-2.3629,-0.10554
-2.1802,3.3791
-0.40951,-0.15521
-2.2918,-7.257
-4.0214,-12.8006
-3.3884,-8.215
-2.0046,-0.49457
-1.7063,2.7956
-1.6386,3.3584
-0.41645,0.32487
-1.5877,-6.6072
-2.5961,-9.349
-1.5228,-6.4789
-0.53072,-0.097265
-0.49081,2.8452
-6.5773,6.8017
-2.4621,2.7645
-1.3995,-1.9162
-2.3221,-9.3304
-3.73,-12.9723
-1.6988,-7.1163
-0.26654,-0.64562
0.33325,3.3108
-4.2091,4.7283
-2.3142,-0.68494
-2.4835,-7.4494
-2.7611,-10.5099
-0.36025,-4.449
1.0117,0.9022
0.96708,3.8426
-5.2049,7.259
-3.3203,-0.02691
-2.565,-5.7899
-1.5951,-6.572
0.7049,0.17174
1.7331,3.9544
0.6818,4.8504
-6.3364,9.2848
-3.8053,2.4273
-2.1979,-2.1252
-0.87874,-2.2121
0.74067,1.7299
0.98296,3.4226
-0.3489,3.1929
-3.8552,3.5219
-6.9599,8.9931
-4.7462,3.1205
-3.2051,-0.14279
-1.7549,-0.080711
-0.59587,2.4811
-0.89542,2.0279
-2.0754,1.2767
-3.2778,1.8023
-2.2183,-1.254
-3.5895,-6.572
-5.0477,-5.8023
-3.5741,3.944
-0.7351,1.7361
-2.2617,-4.7428
-4.244,-13.0634
-4.0218,-8.304
-3.0201,-0.67253
-2.4941,3.5447
-0.83121,0.039307
-2.5665,-6.8824
-4.4018,-12.9371
-3.7573,-8.2916
-2.4725,-0.40145
-1.9725,2.8825
-2.0149,3.6874
-0.82053,0.65181
-1.7886,-6.3486
-2.9138,-9.4711
-1.8343,-6.5907
-0.8734,-0.033118
-0.70346,2.957
-6.7387,6.9879
-2.7723,3.2777
-1.6641,-1.3678
-2.4349,-9.2497
-3.793,-12.7095
-1.9551,-6.9756
-0.69078,-0.50077
0.025013,3.3998
-4.3967,4.9601
-2.456,-0.24418
-2.62,-6.8555
-2.9662,-10.3257
-0.71494,-4.4448
0.6005,0.99945
0.61652,3.8944
-5.4414,7.2363
-3.5798,0.45937
-2.7769,-5.6967
-1.8356,-6.7562
0.30081,0.17381
1.3403,4.1323
0.26877,4.987
-6.5235,9.6014
-4.0679,2.4955
-2.564,-1.7051
-1.3414,-1.9162
0.23874,2.0879
0.6212,3.6771
-0.77848,3.4019
-4.1244,3.7909
-7.0421,9.2
-4.9462,3.5716
-3.5359,0.30417
-2.0662,0.16967
-0.88728,2.808
-1.0941,2.3072
-2.4458,1.6285
-3.551,1.8955
-2.2811,-0.85669
-3.6053,-5.974
-5.0676,-5.1877
-3.9204,4.0723
-1.1306,1.8458
-2.4561,-4.5566
-4.4775,-13.0303
-4.1958,-8.1819
-3.38,-0.7077
-2.4365,3.6026
-0.77688,0.13036
-2.7083,-6.8266
-4.5531,-12.5854
-3.8894,-7.8322
-2.5084,-0.22763
-2.1652,3.0211
-1.8974,3.5074
-0.62043,0.5587
-1.8387,-6.301
-3,-9.1566
-1.9116,-6.1603
-1.005,0.084831
-0.87834,3.257
-6.651,6.7934
-2.5463,3.1101
-1.4377,-1.432
-2.4554,-9.0407
-3.9411,-12.8792
-2.1241,-6.8969
-0.74324,-0.32902
-0.071503,3.7412
-4.2333,4.9166
-2.3675,-0.43663
-2.5526,-7.3625
-3.0986,-10.4602
-0.89809,-4.4862
0.56232,1.0015
0.53936,3.8944
-5.3012,7.3915
-3.3553,0.35591
-2.7908,-5.7133
-1.9983,-6.6072
0.15423,0.11794
1.208,4.0744
0.2952,4.8856
-6.4247,9.5311
-3.9933,2.6218
-2.659,-1.6058
-1.4094,-2.1252
0.11032,1.9741
0.52374,3.644
-0.76794,3.4598
-3.9698,3.6812
-7.0364,9.2931
-4.9447,3.3005
-3.5933,0.22968
-2.1674,0.12415
-0.9607,2.6963
-1.0802,2.1996
-2.3277,1.4381
-3.7244,1.9037
-2.5724,-0.95602
-3.9297,-6.0816
-5.2943,-5.1463
-3.8953,4.0392
-1.2244,1.7485
-2.6406,-4.4159
-4.6338,-12.7509
-4.2887,-7.8633
-3.3458,-0.50491
-1.1188,3.3357
0.55939,-0.3104
-1.5078,-7.3191
-3.506,-12.5667
-2.9498,-8.273
-1.6029,-0.38903
-1.2667,2.8183
-0.49281,3.0605
0.66365,-0.045533
